"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"84","Site2_02/12/1929","Site2_02/12/1929_A82","Edgar Anderson","petal width",1.3,"cm"
"85","Site3_02/12/1929","Site3_02/12/1929_A88","Edgar Anderson","sepal length",6.1,"cm"
"86","Site3_02/12/1929","Site3_02/12/1929_A88","Edgar Anderson","sepal width",2.9,"cm"
"87","Site3_02/12/1929","Site3_02/12/1929_A88","Edgar Anderson","petal length",4.7,"cm"
"88","Site3_02/12/1929","Site3_02/12/1929_A88","Edgar Anderson","petal width",1.4,"cm"
"89","Site1_02/12/1929","Site1_02/12/1929_A102","Edgar Anderson","sepal length",6.5,"cm"
"90","Site1_02/12/1929","Site1_02/12/1929_A102","Edgar Anderson","sepal width",3,"cm"
"91","Site1_02/12/1929","Site1_02/12/1929_A102","Edgar Anderson","petal length",5.8,"cm"
"92","Site1_02/12/1929","Site1_02/12/1929_A102","Edgar Anderson","petal width",2.2,"cm"
"93","Site1_02/12/1929","Site1_02/12/1929_A105","Edgar Anderson","sepal length",5.7,"cm"
"94","Site1_02/12/1929","Site1_02/12/1929_A105","Edgar Anderson","sepal width",2.5,"cm"
"95","Site1_02/12/1929","Site1_02/12/1929_A105","Edgar Anderson","petal length",5,"cm"
"96","Site1_02/12/1929","Site1_02/12/1929_A105","Edgar Anderson","petal width",2,"cm"
"97","Site1_02/12/1929","Site1_02/12/1929_A109","Edgar Anderson","sepal length",7.2,"cm"
"98","Site1_02/12/1929","Site1_02/12/1929_A109","Edgar Anderson","sepal width",3.2,"cm"
"99","Site1_02/12/1929","Site1_02/12/1929_A109","Edgar Anderson","petal length",6,"cm"
"100","Site1_02/12/1929","Site1_02/12/1929_A109","Edgar Anderson","petal width",1.8,"cm"
"101","Site1_02/12/1929","Site1_02/12/1929_A113","Edgar Anderson","sepal length",6.4,"cm"
"102","Site1_02/12/1929","Site1_02/12/1929_A113","Edgar Anderson","sepal width",3.1,"cm"
"103","Site1_02/12/1929","Site1_02/12/1929_A113","Edgar Anderson","petal length",5.5,"cm"
"104","Site1_02/12/1929","Site1_02/12/1929_A113","Edgar Anderson","petal width",1.8,"cm"
"105","Site1_02/12/1929","Site1_02/12/1929_A114","Edgar Anderson","sepal length",6.7,"cm"
"106","Site1_02/12/1929","Site1_02/12/1929_A114","Edgar Anderson","sepal width",3.1,"cm"
"107","Site1_02/12/1929","Site1_02/12/1929_A114","Edgar Anderson","petal length",5.6,"cm"
"108","Site1_02/12/1929","Site1_02/12/1929_A114","Edgar Anderson","petal width",2.4,"cm"
"109","Site1_02/12/1929","Site1_02/12/1929_A117","Edgar Anderson","sepal length",5.9,"cm"
"110","Site1_02/12/1929","Site1_02/12/1929_A117","Edgar Anderson","sepal width",3,"cm"
"111","Site1_02/12/1929","Site1_02/12/1929_A117","Edgar Anderson","petal length",5.1,"cm"
"112","Site1_02/12/1929","Site1_02/12/1929_A117","Edgar Anderson","petal width",1.8,"cm"
"113","Site2_02/12/1929","Site2_02/12/1929_A118","Edgar Anderson","sepal length",6.3,"cm"
"114","Site2_02/12/1929","Site2_02/12/1929_A118","Edgar Anderson","sepal width",3.3,"cm"
"115","Site2_02/12/1929","Site2_02/12/1929_A118","Edgar Anderson","petal length",6,"cm"
"116","Site2_02/12/1929","Site2_02/12/1929_A118","Edgar Anderson","petal width",2.5,"cm"
"117","Site2_02/12/1929","Site2_02/12/1929_A133","Edgar Anderson","sepal length",6.7,"cm"
"118","Site2_02/12/1929","Site2_02/12/1929_A133","Edgar Anderson","sepal width",3,"cm"
"119","Site2_02/12/1929","Site2_02/12/1929_A133","Edgar Anderson","petal length",5.2,"cm"
"120","Site2_02/12/1929","Site2_02/12/1929_A133","Edgar Anderson","petal width",2.3,"cm"
"121","Site1_01/12/1929","Site1_01/12/1929_A2","Edgar Anderson","sepal length",5.4,"cm"
"122","Site1_01/12/1929","Site1_01/12/1929_A2","Edgar Anderson","sepal width",3.4,"cm"
"123","Site1_01/12/1929","Site1_01/12/1929_A2","Edgar Anderson","petal length",1.7,"cm"
"124","Site1_01/12/1929","Site1_01/12/1929_A2","Edgar Anderson","petal width",0.2,"cm"
"125","Site1_01/12/1929","Site1_01/12/1929_A6","Edgar Anderson","sepal length",5.2,"cm"
"126","Site1_01/12/1929","Site1_01/12/1929_A6","Edgar Anderson","sepal width",4.1,"cm"
"127","Site1_01/12/1929","Site1_01/12/1929_A6","Edgar Anderson","petal length",1.5,"cm"
"128","Site1_01/12/1929","Site1_01/12/1929_A6","Edgar Anderson","petal width",0.1,"cm"
"129","Site1_01/12/1929","Site1_01/12/1929_A8","Edgar Anderson","sepal length",4.4,"cm"
"130","Site1_01/12/1929","Site1_01/12/1929_A8","Edgar Anderson","sepal width",3,"cm"
"131","Site1_01/12/1929","Site1_01/12/1929_A8","Edgar Anderson","petal length",1.3,"cm"
"132","Site1_01/12/1929","Site1_01/12/1929_A8","Edgar Anderson","petal width",0.2,"cm"
"133","Site2_13/02/1930","Site2_13/02/1930_A19","Edgar Anderson","sepal length",4.6,"cm"
"134","Site2_13/02/1930","Site2_13/02/1930_A19","Edgar Anderson","sepal width",3.6,"cm"
"135","Site2_13/02/1930","Site2_13/02/1930_A19","Edgar Anderson","petal length",1,"cm"
"136","Site2_13/02/1930","Site2_13/02/1930_A19","Edgar Anderson","petal width",0.2,"cm"
"137","Site2_13/02/1930","Site2_13/02/1930_A28","Edgar Anderson","sepal length",5,"cm"
"138","Site2_13/02/1930","Site2_13/02/1930_A28","Edgar Anderson","sepal width",3.3,"cm"
"139","Site2_13/02/1930","Site2_13/02/1930_A28","Edgar Anderson","petal length",1.4,"cm"
"140","Site2_13/02/1930","Site2_13/02/1930_A28","Edgar Anderson","petal width",0.2,"cm"
"141","Site2_13/02/1930","Site2_13/02/1930_A30","Edgar Anderson","sepal length",5,"cm"
"142","Site2_13/02/1930","Site2_13/02/1930_A30","Edgar Anderson","sepal width",3.6,"cm"
"143","Site2_13/02/1930","Site2_13/02/1930_A30","Edgar Anderson","petal length",1.4,"cm"
"144","Site2_13/02/1930","Site2_13/02/1930_A30","Edgar Anderson","petal width",0.2,"cm"
"145","Site3_01/12/1929","Site3_01/12/1929_A35","Edgar Anderson","sepal length",5.1,"cm"
"146","Site3_01/12/1929","Site3_01/12/1929_A35","Edgar Anderson","sepal width",3.7,"cm"
"147","Site3_01/12/1929","Site3_01/12/1929_A35","Edgar Anderson","petal length",1.5,"cm"
"148","Site3_01/12/1929","Site3_01/12/1929_A35","Edgar Anderson","petal width",0.4,"cm"
"149","Site3_01/12/1929","Site3_01/12/1929_A43","Edgar Anderson","sepal length",4.8,"cm"
"150","Site3_01/12/1929","Site3_01/12/1929_A43","Edgar Anderson","sepal width",3,"cm"
"151","Site3_01/12/1929","Site3_01/12/1929_A43","Edgar Anderson","petal length",1.4,"cm"
"152","Site3_01/12/1929","Site3_01/12/1929_A43","Edgar Anderson","petal width",0.3,"cm"
"153","Site2_13/02/1930","Site2_13/02/1930_A74","Edgar Anderson","sepal length",5.9,"cm"
"154","Site2_13/02/1930","Site2_13/02/1930_A74","Edgar Anderson","sepal width",3.2,"cm"
"155","Site2_13/02/1930","Site2_13/02/1930_A74","Edgar Anderson","petal length",4.8,"cm"
"156","Site2_13/02/1930","Site2_13/02/1930_A74","Edgar Anderson","petal width",1.8,"cm"
"157","Site3_01/12/1929","Site3_01/12/1929_A94","Edgar Anderson","sepal length",5.5,"cm"
"158","Site3_01/12/1929","Site3_01/12/1929_A94","Edgar Anderson","sepal width",2.4,"cm"
"159","Site3_01/12/1929","Site3_01/12/1929_A94","Edgar Anderson","petal length",3.7,"cm"
"160","Site3_01/12/1929","Site3_01/12/1929_A94","Edgar Anderson","petal width",1,"cm"
"161","Site3_01/12/1929","Site3_01/12/1929_A99","Edgar Anderson","sepal length",5.7,"cm"
"162","Site3_01/12/1929","Site3_01/12/1929_A99","Edgar Anderson","sepal width",2.9,"cm"
"163","Site3_01/12/1929","Site3_01/12/1929_A99","Edgar Anderson","petal length",4.2,"cm"
"164","Site3_01/12/1929","Site3_01/12/1929_A99","Edgar Anderson","petal width",1.3,"cm"
"165","Site2_13/02/1930","Site2_13/02/1930_A119","Edgar Anderson","sepal length",6.3,"cm"
"166","Site2_13/02/1930","Site2_13/02/1930_A119","Edgar Anderson","sepal width",2.9,"cm"
"167","Site2_13/02/1930","Site2_13/02/1930_A119","Edgar Anderson","petal length",5.6,"cm"
"168","Site2_13/02/1930","Site2_13/02/1930_A119","Edgar Anderson","petal width",1.8,"cm"
"169","Site2_13/02/1930","Site2_13/02/1930_A125","Edgar Anderson","sepal length",5.6,"cm"
"170","Site2_13/02/1930","Site2_13/02/1930_A125","Edgar Anderson","sepal width",2.8,"cm"
"171","Site2_13/02/1930","Site2_13/02/1930_A125","Edgar Anderson","petal length",4.9,"cm"
"172","Site2_13/02/1930","Site2_13/02/1930_A125","Edgar Anderson","petal width",2,"cm"
"173","Site2_13/02/1930","Site2_13/02/1930_A126","Edgar Anderson","sepal length",6.7,"cm"
"174","Site2_13/02/1930","Site2_13/02/1930_A126","Edgar Anderson","sepal width",3.3,"cm"
"175","Site2_13/02/1930","Site2_13/02/1930_A126","Edgar Anderson","petal length",5.7,"cm"
"176","Site2_13/02/1930","Site2_13/02/1930_A126","Edgar Anderson","petal width",2.1,"cm"
"177","Site3_01/12/1929","Site3_01/12/1929_A138","Edgar Anderson","sepal length",6.4,"cm"
"178","Site3_01/12/1929","Site3_01/12/1929_A138","Edgar Anderson","sepal width",2.7,"cm"
"179","Site3_01/12/1929","Site3_01/12/1929_A138","Edgar Anderson","petal length",5.3,"cm"
"180","Site3_01/12/1929","Site3_01/12/1929_A138","Edgar Anderson","petal width",1.9,"cm"
"181","Site1_01/12/1929","Site1_01/12/1929_A15","Edgar Anderson","sepal length",5.8,"cm"
"182","Site1_01/12/1929","Site1_01/12/1929_A15","Edgar Anderson","sepal width",4,"cm"
"183","Site1_01/12/1929","Site1_01/12/1929_A15","Edgar Anderson","petal length",1.2,"cm"
"184","Site1_01/12/1929","Site1_01/12/1929_A15","Edgar Anderson","petal width",0.2,"cm"
"185","Site1_02/12/1929","Site1_02/12/1929_A21","Edgar Anderson","sepal length",5.4,"cm"
"186","Site1_02/12/1929","Site1_02/12/1929_A21","Edgar Anderson","sepal width",3.4,"cm"
"187","Site1_02/12/1929","Site1_02/12/1929_A21","Edgar Anderson","petal length",1.7,"cm"
"188","Site1_02/12/1929","Site1_02/12/1929_A21","Edgar Anderson","petal width",0.2,"cm"
"189","Site3_03/12/1929","Site3_03/12/1929_A40","Edgar Anderson","sepal length",5.1,"cm"
"190","Site3_03/12/1929","Site3_03/12/1929_A40","Edgar Anderson","sepal width",3.4,"cm"
"191","Site3_03/12/1929","Site3_03/12/1929_A40","Edgar Anderson","petal length",1.5,"cm"
"192","Site3_03/12/1929","Site3_03/12/1929_A40","Edgar Anderson","petal width",0.2,"cm"
"193","Site3_04/12/1929","Site3_04/12/1929_A49","Edgar Anderson","sepal length",5.3,"cm"
"194","Site3_04/12/1929","Site3_04/12/1929_A49","Edgar Anderson","sepal width",3.7,"cm"
"195","Site3_04/12/1929","Site3_04/12/1929_A49","Edgar Anderson","petal length",1.5,"cm"
"196","Site3_04/12/1929","Site3_04/12/1929_A49","Edgar Anderson","petal width",0.2,"cm"
"197","Site2_13/02/1930","Site2_13/02/1930_A56","Edgar Anderson","sepal length",5.7,"cm"
"198","Site2_13/02/1930","Site2_13/02/1930_A56","Edgar Anderson","sepal width",2.8,"cm"
"199","Site2_13/02/1930","Site2_13/02/1930_A56","Edgar Anderson","petal length",4.5,"cm"
"200","Site2_13/02/1930","Site2_13/02/1930_A56","Edgar Anderson","petal width",1.3,"cm"
"201","Site3_01/12/1929","Site3_01/12/1929_A58","Edgar Anderson","sepal length",4.9,"cm"
"202","Site3_01/12/1929","Site3_01/12/1929_A58","Edgar Anderson","sepal width",2.4,"cm"
"203","Site3_01/12/1929","Site3_01/12/1929_A58","Edgar Anderson","petal length",3.3,"cm"
"204","Site3_01/12/1929","Site3_01/12/1929_A58","Edgar Anderson","petal width",1,"cm"
"205","Site2_13/02/1930","Site2_13/02/1930_A62","Edgar Anderson","sepal length",5.9,"cm"
"206","Site2_13/02/1930","Site2_13/02/1930_A62","Edgar Anderson","sepal width",3,"cm"
"207","Site2_13/02/1930","Site2_13/02/1930_A62","Edgar Anderson","petal length",4.2,"cm"
"208","Site2_13/02/1930","Site2_13/02/1930_A62","Edgar Anderson","petal width",1.5,"cm"
"209","Site1_01/12/1929","Site1_01/12/1929_A90","Edgar Anderson","sepal length",5.5,"cm"
"210","Site1_01/12/1929","Site1_01/12/1929_A90","Edgar Anderson","sepal width",2.5,"cm"
"211","Site1_01/12/1929","Site1_01/12/1929_A90","Edgar Anderson","petal length",4,"cm"
"212","Site1_01/12/1929","Site1_01/12/1929_A90","Edgar Anderson","petal width",1.3,"cm"
"213","Site2_13/02/1930","Site2_13/02/1930_A101","Edgar Anderson","sepal length",6.3,"cm"
"214","Site2_13/02/1930","Site2_13/02/1930_A101","Edgar Anderson","sepal width",3.3,"cm"
"215","Site2_13/02/1930","Site2_13/02/1930_A101","Edgar Anderson","petal length",6,"cm"
"216","Site2_13/02/1930","Site2_13/02/1930_A101","Edgar Anderson","petal width",2.5,"cm"
"217","Site2_14/02/1930","Site2_14/02/1930_A107","Edgar Anderson","sepal length",4.9,"cm"
"218","Site2_14/02/1930","Site2_14/02/1930_A107","Edgar Anderson","sepal width",2.5,"cm"
"219","Site2_14/02/1930","Site2_14/02/1930_A107","Edgar Anderson","petal length",4.5,"cm"
"220","Site2_14/02/1930","Site2_14/02/1930_A107","Edgar Anderson","petal width",1.7,"cm"
"221","Site3_01/12/1929","Site3_01/12/1929_A115","Edgar Anderson","sepal length",5.8,"cm"
"222","Site3_01/12/1929","Site3_01/12/1929_A115","Edgar Anderson","sepal width",2.8,"cm"
"223","Site3_01/12/1929","Site3_01/12/1929_A115","Edgar Anderson","petal length",5.1,"cm"
"224","Site3_01/12/1929","Site3_01/12/1929_A115","Edgar Anderson","petal width",2.4,"cm"
"225","Site2_13/02/1930","Site2_13/02/1930_A116","Edgar Anderson","sepal length",6.4,"cm"
"226","Site2_13/02/1930","Site2_13/02/1930_A116","Edgar Anderson","sepal width",3.2,"cm"
"227","Site2_13/02/1930","Site2_13/02/1930_A116","Edgar Anderson","petal length",5.3,"cm"
"228","Site2_13/02/1930","Site2_13/02/1930_A116","Edgar Anderson","petal width",2.3,"cm"
"229","Site3_01/12/1929","Site3_01/12/1929_A121","Edgar Anderson","sepal length",6.9,"cm"
"230","Site3_01/12/1929","Site3_01/12/1929_A121","Edgar Anderson","sepal width",3.2,"cm"
"231","Site3_01/12/1929","Site3_01/12/1929_A121","Edgar Anderson","petal length",5.7,"cm"
"232","Site3_01/12/1929","Site3_01/12/1929_A121","Edgar Anderson","petal width",2.3,"cm"
"233","Site3_02/12/1929","Site3_02/12/1929_A127","Edgar Anderson","sepal length",6.2,"cm"
"234","Site3_02/12/1929","Site3_02/12/1929_A127","Edgar Anderson","sepal width",2.8,"cm"
"235","Site3_02/12/1929","Site3_02/12/1929_A127","Edgar Anderson","petal length",4.8,"cm"
"236","Site3_02/12/1929","Site3_02/12/1929_A127","Edgar Anderson","petal width",1.8,"cm"
"237","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","sepal length",6.9,"cm"
"238","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","sepal width",3.1,"cm"
"239","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","petal length",5.4,"cm"
"240","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","petal width",2.1,"cm"
"241","Site1_01/12/1929","Site1_01/12/1929_ A3","Edgar Anderson","sepal length",4.7,"cm"
"242","Site1_01/12/1929","Site1_01/12/1929_ A3","Edgar Anderson","sepal width",3.2,"cm"
"243","Site1_01/12/1929","Site1_01/12/1929_ A3","Edgar Anderson","petal length",1.3,"cm"
"244","Site1_01/12/1929","Site1_01/12/1929_ A3","Edgar Anderson","petal width",0.2,"cm"
"245","Site3_01/12/1929","Site3_01/12/1929_ A4","Edgar Anderson","sepal length",4.6,"cm"
"246","Site3_01/12/1929","Site3_01/12/1929_ A4","Edgar Anderson","sepal width",3.1,"cm"
"247","Site3_01/12/1929","Site3_01/12/1929_ A4","Edgar Anderson","petal length",1.5,"cm"
"248","Site3_01/12/1929","Site3_01/12/1929_ A4","Edgar Anderson","petal width",0.2,"cm"
"249","Site3_01/12/1929","Site3_01/12/1929_ A7","Edgar Anderson","sepal length",4.6,"cm"
"250","Site3_01/12/1929","Site3_01/12/1929_ A7","Edgar Anderson","sepal width",3.4,"cm"
"251","Site3_01/12/1929","Site3_01/12/1929_ A7","Edgar Anderson","petal length",1.4,"cm"
"252","Site3_01/12/1929","Site3_01/12/1929_ A7","Edgar Anderson","petal width",0.3,"cm"
"253","Site3_01/12/1929","Site3_01/12/1929_ A25","Edgar Anderson","sepal length",4.8,"cm"
"254","Site3_01/12/1929","Site3_01/12/1929_ A25","Edgar Anderson","sepal width",3.4,"cm"
"255","Site3_01/12/1929","Site3_01/12/1929_ A25","Edgar Anderson","petal length",1.9,"cm"
"256","Site3_01/12/1929","Site3_01/12/1929_ A25","Edgar Anderson","petal width",0.2,"cm"
"257","Site1_01/12/1929","Site1_01/12/1929_ A27","Edgar Anderson","sepal length",5,"cm"
"258","Site1_01/12/1929","Site1_01/12/1929_ A27","Edgar Anderson","sepal width",3.4,"cm"
"259","Site1_01/12/1929","Site1_01/12/1929_ A27","Edgar Anderson","petal length",1.6,"cm"
"260","Site1_01/12/1929","Site1_01/12/1929_ A27","Edgar Anderson","petal width",0.4,"cm"
"261","Site2_13/02/1930","Site2_13/02/1930_ A65","Edgar Anderson","sepal length",5.6,"cm"
"262","Site2_13/02/1930","Site2_13/02/1930_ A65","Edgar Anderson","sepal width",2.9,"cm"
"263","Site2_13/02/1930","Site2_13/02/1930_ A65","Edgar Anderson","petal length",3.6,"cm"
"264","Site2_13/02/1930","Site2_13/02/1930_ A65","Edgar Anderson","petal width",1.3,"cm"
"265","Site1_01/12/1929","Site1_01/12/1929_ A72","Edgar Anderson","sepal length",6.1,"cm"
"266","Site1_01/12/1929","Site1_01/12/1929_ A72","Edgar Anderson","sepal width",2.8,"cm"
"267","Site1_01/12/1929","Site1_01/12/1929_ A72","Edgar Anderson","petal length",4,"cm"
"268","Site1_01/12/1929","Site1_01/12/1929_ A72","Edgar Anderson","petal width",1.3,"cm"
"269","Site2_13/02/1930","Site2_13/02/1930_ A77","Edgar Anderson","sepal length",6.8,"cm"
"270","Site2_13/02/1930","Site2_13/02/1930_ A77","Edgar Anderson","sepal width",2.8,"cm"
"271","Site2_13/02/1930","Site2_13/02/1930_ A77","Edgar Anderson","petal length",4.8,"cm"
"272","Site2_13/02/1930","Site2_13/02/1930_ A77","Edgar Anderson","petal width",1.4,"cm"
"273","Site1_01/12/1929","Site1_01/12/1929_ A78","Edgar Anderson","sepal length",6.7,"cm"
"274","Site1_01/12/1929","Site1_01/12/1929_ A78","Edgar Anderson","sepal width",3,"cm"
"275","Site1_01/12/1929","Site1_01/12/1929_ A78","Edgar Anderson","petal length",5,"cm"
"276","Site1_01/12/1929","Site1_01/12/1929_ A78","Edgar Anderson","petal width",1.7,"cm"
